Task:        font_detection
Classes:     ['Arial', 'Georgia', 'Lato', 'Merriweather', 'Montserrat', 'Nunito', 'Open Sans', 'Oswald', 'PT Sans', 'Playfair Display', 'Raleway', 'Roboto', 'Source Sans Pro', 'Times New Roman', 'Ubuntu']
Num classes: 15
Metric:      f1_macro
Time budget: 1200s

Device: cuda
Model params: 8.54M
Estimated total steps: 120000
Batch size:            64
Images per epoch:      29,952


step 00061 | loss: 2.7371 | lr: 1.24e-04 | imgs/s: 3,475 | remaining: 1191s    
step 00062 | loss: 2.7370 | lr: 1.26e-04 | imgs/s: 1,141 | remaining: 1191s    
step 00063 | loss: 2.7375 | lr: 1.28e-04 | imgs/s: 1,975 | remaining: 1191s    
step 00064 | loss: 2.7366 | lr: 1.30e-04 | imgs/s: 3,516 | remaining: 1191s    
step 00065 | loss: 2.7381 | lr: 1.32e-04 | imgs/s: 3,529 | remaining: 1191s    
step 00066 | loss: 2.7383 | lr: 1.34e-04 | imgs/s: 1,089 | remaining: 1191s    
step 00067 | loss: 2.7362 | lr: 1.36e-04 | imgs/s: 2,259 | remaining: 1191s    
step 00068 | loss: 2.7347 | lr: 1.38e-04 | imgs/s: 2,268 | remaining: 1191s    
step 00069 | loss: 2.7362 | lr: 1.40e-04 | imgs/s: 3,531 | remaining: 1191s    
step 00070 | loss: 2.7362 | lr: 1.42e-04 | imgs/s: 1,086 | remaining: 1191s    
step 00071 | loss: 2.7370 | lr: 1.44e-04 | imgs/s: 2,601 | remaining: 1191s    
step 00072 | loss: 2.7381 | lr: 1.46e-04 | imgs/s: 2,099 | remaining: 1191s    
step 00073 | loss: 2.7389 | lr: 1.48e-04 | imgs/s: 3,517 | remaining: 1191s    
step 00074 | loss: 2.7386 | lr: 1.50e-04 | imgs/s: 1,039 | remaining: 1191s    
step 00075 | loss: 2.7387 | lr: 1.52e-04 | imgs/s: 2,840 | remaining: 1191s    
step 00076 | loss: 2.7386 | lr: 1.54e-04 | imgs/s: 2,035 | remaining: 1191s    
step 00077 | loss: 2.7394 | lr: 1.56e-04 | imgs/s: 3,543 | remaining: 1191s    
step 00078 | loss: 2.7410 | lr: 1.58e-04 | imgs/s: 1,176 | remaining: 1191s    
step 00079 | loss: 2.7465 | lr: 1.60e-04 | imgs/s: 2,140 | remaining: 1191s    
step 00080 | loss: 2.7480 | lr: 1.62e-04 | imgs/s: 2,298 | remaining: 1191s    
step 00081 | loss: 2.7527 | lr: 1.64e-04 | imgs/s: 3,524 | remaining: 1191s    
step 00082 | loss: 2.7528 | lr: 1.66e-04 | imgs/s: 1,151 | remaining: 1191s    
step 00083 | loss: 2.7567 | lr: 1.68e-04 | imgs/s: 2,021 | remaining: 1191s    
step 00084 | loss: 2.7558 | lr: 1.70e-04 | imgs/s: 2,174 | remaining: 1191s    
step 00085 | loss: 2.7525 | lr: 1.72e-04 | imgs/s: 3,138 | remaining: 1191s    
step 00086 | loss: 2.7534 | lr: 1.74e-04 | imgs/s: 1,241 | remaining: 1191s    
step 00087 | loss: 2.7558 | lr: 1.76e-04 | imgs/s: 1,818 | remaining: 1190s    
step 00088 | loss: 2.7533 | lr: 1.78e-04 | imgs/s: 2,154 | remaining: 1190s    
step 00089 | loss: 2.7531 | lr: 1.80e-04 | imgs/s: 3,517 | remaining: 1190s    
step 00090 | loss: 2.7520 | lr: 1.82e-04 | imgs/s: 1,312 | remaining: 1190s    
step 00091 | loss: 2.7524 | lr: 1.84e-04 | imgs/s: 1,725 | remaining: 1190s    
step 00092 | loss: 2.7497 | lr: 1.86e-04 | imgs/s: 2,094 | remaining: 1190s    
step 00093 | loss: 2.7496 | lr: 1.88e-04 | imgs/s: 3,529 | remaining: 1190s    
